,sh1,p,C1,B1,Tem_1,DE1
2020-05-03,55.93129268083334,0.0,1.8585555555555555,-0.5952604166666667,26.570531250000002,0.0
2020-05-04,52.716856195000005,1.4393333333333311,1.8785590277777777,-0.6206666666666666,28.74887847222222,0.0
2020-05-05,52.20564308666667,3.217333333333329,1.903201388888889,-0.6060868055555556,28.90579166666667,1.10741
2020-05-06,52.14648003333333,1.5239999999999978,1.9035833333333334,-0.5866076388888889,28.059572916666667,0.0
2020-05-07,52.19107928541667,0.3386666666666658,1.8748680555555557,-0.5983055555555555,27.932996527777778,0.0
2020-05-08,52.12499204375,0.0,1.8891631944444445,-0.6135763888888889,28.478770833333332,0.0
2020-05-09,51.98775079791667,0.0,1.9246006944444443,-0.6223611111111111,29.386690972222222,0.0
2020-05-10,51.76168729291666,0.0,1.924048611111111,-0.6106666666666667,28.77598263888889,0.0
2020-05-11,51.311862831250004,0.8466666666666638,1.8856770833333334,-0.5949305555555555,26.64464236111111,0.0
2020-05-12,51.063947725,0.0,1.8932881944444444,-0.6074965277777777,27.357649305555555,0.0
2020-05-13,50.97488522166667,0.5079999999999996,1.927451388888889,-0.5957847222222222,27.394388888888887,0.0
2020-05-14,50.93973886125,0.0,1.9092881944444444,-0.6079826388888889,28.555600694444447,0.0
2020-05-15,50.87444937541667,0.0,1.899715277777778,-0.6022673611111111,28.276225694444445,0.0
2020-05-16,50.779966625,4.48733333333333,1.9027604166666665,-0.6154236111111111,29.20991666666667,0.0
2020-05-17,50.73145689958333,2.539999999999994,1.8759236111111113,-0.6044618055555556,27.601576388888887,0.0
2020-05-18,51.71047658416666,1.3546666666666636,1.8625069444444444,-0.609451388888889,28.757638888888888,0.369137
2020-05-19,55.57356893833334,22.690666666666658,1.80634375,-0.5585034722222223,24.16751736111111,0.0
2020-05-20,58.911533725,0.0,1.8466875,-0.5923125,27.456607638888887,0.0
2020-05-21,56.513870562499996,0.0,1.8822534722222224,-0.5912743055555555,28.8774375,0.0
2020-05-22,51.801203219166666,0.0,1.857347222222222,-0.5895347222222223,28.73640625,0.0
2020-05-23,51.25075930958334,0.0,1.8702569444444446,-0.5864548611111111,28.47139236111111,0.0
2020-05-24,51.000663098749996,0.0,1.9023333333333332,-0.5991979166666667,30.513038194444444,0.0
2020-05-25,50.89221354458333,0.0,1.881326388888889,-0.5915416666666666,29.44672222222222,0.0
2020-05-26,50.795376884166664,0.0,1.8656805555555556,-0.6037986111111111,30.283649305555556,0.0
2020-05-27,50.703463061250005,7.196666666666652,1.833982638888889,-0.5774270833333334,27.342260416666665,0.0
2020-05-28,50.56362268583334,3.8099999999999916,1.8018333333333334,-0.5789895833333333,24.568923611111114,0.0
2020-05-29,51.88427155958333,2.7939999999999943,1.8042222222222222,-0.58928125,25.11051388888889,0.0
2020-05-30,56.54518446625,32.00399999999998,1.8219930555555557,-0.5809131944444444,23.88254513888889,0.0
2020-05-31,59.45192130041667,4.317999999999997,1.8403055555555554,-0.5975,24.268767361111113,0.0
2020-06-01,59.30486012708333,3.7253333333333267,1.8635520833333334,-0.6241597222222222,26.882006944444445,0.0
2020-06-02,57.52747386625,0.0,1.8824583333333333,-0.6127152777777778,26.040104166666666,0.0
2020-06-03,53.167331985000004,4.995333333333328,1.8646423611111114,-0.591298611111111,22.706093749999997,0.0
2020-06-04,51.698977899166664,0.0,1.9199479166666666,-0.6288819444444445,27.20386111111111,0.0
2020-06-05,51.383103541249994,2.116666666666664,1.9515694444444442,-0.6077534722222222,27.469631944444444,0.0
2020-06-06,51.11588261583333,2.8786666666666587,1.9106041666666667,-0.5936840277777778,25.009180555555556,0.0
2020-06-07,50.84274041041667,0.0,1.9162673611111112,-0.6283090277777778,27.998,0.0
2020-06-08,50.56520449958333,0.5079999999999978,1.9269583333333333,-0.6065416666666666,28.08087847222222,0.0
2020-06-09,51.27137963333333,11.937999999999994,1.9193888888888886,-0.6043611111111111,25.935538194444444,0.0
2020-06-10,53.24066936916667,2.0319999999999956,1.8928402777777775,-0.6060416666666667,23.343496527777777,0.0
2020-06-11,54.91496481916667,3.4713333333333294,1.8804756944444445,-0.6291041666666667,25.264274305555556,0.0
2020-06-12,55.69055101166666,0.4233333333333325,1.8433958333333333,-0.6219652777777778,23.400447916666668,0.0
2020-06-13,56.36301035916667,0.0,1.91040625,-0.6492222222222223,25.77201736111111,0.0
2020-06-14,57.93933364541667,0.0,1.935204861111111,-0.6464826388888888,26.525020833333333,0.0
2020-06-15,56.288846335833334,0.0,1.925517361111111,-0.6439583333333333,25.88467361111111,0.0
2020-06-16,55.4413143475,26.669999999999987,1.9567326388888888,-0.6484895833333333,26.65663888888889,0.0
2020-06-17,60.94448048916667,8.297333333333327,1.9438368055555555,-0.6256944444444444,23.79019097222222,0.0
2020-06-18,62.17503948875,0.0,1.9169583333333333,-0.6803159722222222,26.271704861111115,0.0
2020-06-19,62.00203436458334,3.640666666666664,1.9286631944444446,-0.6761701388888889,26.395385416666667,0.0
2020-06-20,61.01774693916666,19.811999999999973,1.9466319444444444,-0.6529027777777777,25.88353125,0.0
2020-06-21,61.06725832875,2.7093333333333183,1.9706805555555553,-0.6650729166666667,26.066444444444443,0.0
2020-06-22,60.90829716416667,2.285999999999985,1.973892361111111,-0.6738298611111112,26.229753472222225,0.369137
2020-06-23,59.95269488333333,0.0,1.9699652777777779,-0.6816770833333333,26.741472222222225,0.738274
2020-06-24,56.45827153291667,0.0,1.9388194444444444,-0.6772986111111111,25.485812499999998,0.738274
